#NUMBER,NAME       ,LOCATION,LATITUDE,NS,LONGITUDE,EW,ELEV,TYPE,EXPLOSION TYPE
NORKOREA,NorthKorea,North_Korea   ,41.306,N,129.065,E,   0,Explosion,10kt
TEHRANXX,Tehran    ,Iran          ,35.500,N, 54.200,E,   0,Explosion,10kt
